year,month,name,cause,acres,county,longitude,latitude
1970,5,YPARRAGUIRRE,14 - Unknown,364.9244079589844,Fresno,-120.87119114516848,36.74007859332389
1970,10,PINE LOG,4 - Campfire,356.5762634277344,Tuolumne,-120.38438869859051,38.07440219600896
1970,7,WOLF,14 - Unknown,426.8633117675781,Fresno,-119.36012141202772,36.87907133177168
1970,6,COW FLAT,2 - Equipment Use,36.09956741333008,Kern,-118.69295083927214,35.49847993040174
1970,9,BAILEY FIRE,14 - Unknown,416.3110046386719,Los Angeles,-118.40430054928595,34.29542067179172
1970,9,RANKIN RANCH,9 - Miscellaneous,35976.22265625,Kern,-118.61560889410471,35.39209766260089
1970,8,SONNE,14 - Unknown,355.2645263671875,Monterey,-120.92017399359536,35.855765376538436
1970,8,HOWELL,14 - Unknown,1745.901611328125,Riverside,-117.20754845609754,34.003376583884936
1970,11,JORDAN (ROADSIDE #70),14 - Unknown,539.87451171875,Riverside,-117.20459657377748,33.965809048245504
1970,6,BANDARITA ,5 - Debris,14.287859916687012,Mariposa,-120.03048946846431,37.68556174378839
1970,6,HECKER,1 - Lightning,35.48953628540039,Plumas,-121.3294245514802,39.95316851449487
1970,9,GANESHA FIRE,14 - Unknown,69.19541931152344,Los Angeles,-117.77093955551341,34.079887585673674
1970,9,MAYO FIRE,14 - Unknown,7144.47216796875,Ventura,-118.71283783879088,34.42381808396065
1970,8,RYE FIRE,14 - Unknown,101.60182189941406,Los Angeles,-118.58618897174776,34.460712940958345
1970,5,GRIGORY,14 - Unknown,289.8847351074219,Monterey,-120.81718139897819,36.01158666573697
1970,9,LOS LAURELES,14 - Unknown,632.1907348632812,Monterey,-121.74294415896368,36.56456257648379
1970,8,MELENDY,14 - Unknown,290.03802490234375,San Benito,-121.25512658949582,36.580727405989
1970,9,EL TORO,14 - Unknown,412.7728271484375,Orange,-117.6784665619497,33.647454135324146
1970,9,TONNER,14 - Unknown,64.89915466308594,Orange,-117.87599597981274,33.933414152294205
1970,7,BARRETT,4 - Campfire,104.81537628173828,San Diego,-116.6485756522438,32.66059765095515
1970,11,WILEY,14 - Unknown,448.6109008789063,Ventura,-118.83769611786758,34.372700682236896
1970,9,COLIMA FIRE,14 - Unknown,323.10809326171875,Los Angeles,-117.97828458003076,33.97426582832977
1970,9,MINER,14 - Unknown,748.25146484375,Humboldt,-124.23272740444686,40.283518966345795
1970,7,JOHNSON SERIES,14 - Unknown,326.3581848144531,Mendocino,-123.12191917460122,38.8903103060206
1970,8,JACKSON,14 - Unknown,282.57550048828125,Alameda,-121.72875823127285,37.76823764543505
1970,6,JACINTO,14 - Unknown,385.1788024902344,Placer,-121.32171023843719,38.97650045555778
1970,9,INDIAN CREEK,14 - Unknown,486.6086730957031,Lake,-122.53345396964079,39.01487022303892
1970,9,GLASCOCK MTN.,14 - Unknown,385.43548583984375,Yolo,-122.30974728038936,38.91652899280256
1970,10,G.P. #6,14 - Unknown,567.3262329101562,Humboldt,-124.06814064222011,41.2377684674556
1970,8,BOLAM,6 - Railroad,852.4375,Siskiyou,-122.23065759397707,41.52354813705667
1970,3,RIM,5 - Debris,106.4296646118164,Tuolumne,-120.136896053671,37.85868261328693
